Measure-Key,Measure-Name,Input-networks,Input-nodesets,Input-parameters,
authorityCentrality-1,authorityCentrality,Agent x Agent,,,
authorityCentrality-2,authorityCentrality,Agent x Agent - shared Agent,,,
averageDistance-1,averageDistance,Agent x Agent,,,
averageDistance-2,averageDistance,Agent x Agent,,inverted=true,
averageDistance-3,averageDistance,Agent x Agent - shared Agent,,,
averageSpeed-1,averageSpeed,Agent x Agent,,,
averageSpeed-2,averageSpeed,Agent x Agent,,inverted=true,
averageSpeed-3,averageSpeed,Agent x Agent - shared Agent,,,
betweennessCentrality-1,betweennessCentrality,Agent x Agent,,,
betweennessCentrality-2,betweennessCentrality,Agent x Agent,,inverted=true,
betweennessCentrality-3,betweennessCentrality,Agent x Agent - shared Agent,,,
betweennessCentralization-1,betweennessCentralization,Agent x Agent,,,
betweennessCentralization-2,betweennessCentralization,Agent x Agent,,inverted=true,
betweennessCentralization-3,betweennessCentralization,Agent x Agent - shared Agent,,,
bonacichPowerCentrality-1,bonacichPowerCentrality,Agent x Agent,,,
bonacichPowerCentrality-2,bonacichPowerCentrality,Agent x Agent - shared Agent,,,
closenessCentrality-1,closenessCentrality,Agent x Agent,,,
closenessCentrality-2,closenessCentrality,Agent x Agent,,inverted=true,
closenessCentrality-3,closenessCentrality,Agent x Agent - shared Agent,,,
closenessCentralization-1,closenessCentralization,Agent x Agent,,,
closenessCentralization-2,closenessCentralization,Agent x Agent,,inverted=true,
closenessCentralization-3,closenessCentralization,Agent x Agent - shared Agent,,,
contributionCentrality-1,contributionCentrality,Agent x Agent,,,
contributionCentrality-2,contributionCentrality,Agent x Agent - shared Agent,,,
diameter-1,diameter,Agent x Agent,,,
diameter-2,diameter,Agent x Agent,,inverted=true,
diameter-3,diameter,Agent x Agent - shared Agent,,,
diameterReachable-1,diameterReachable,Agent x Agent,,,
diameterReachable-2,diameterReachable,Agent x Agent,,inverted=true,
diameterReachable-3,diameterReachable,Agent x Agent - shared Agent,,,
eccentricityCentrality-1,eccentricityCentrality,Agent x Agent,,,
