Node-Id,Node-Title,authorityCentrality-1-Meta Network,authorityCentrality-1-Meta Network-unscaled,authorityCentrality-2-Meta Network,authorityCentrality-2-Meta Network-unscaled,betweennessCentrality-1-Meta Network,betweennessCentrality-1-Meta Network-unscaled,betweennessCentrality-2-Meta Network,betweennessCentrality-2-Meta Network-unscaled,betweennessCentrality-3-Meta Network,betweennessCentrality-3-Meta Network-unscaled,bonacichPowerCentrality-1-Meta Network,bonacichPowerCentrality-1-Meta Network-unscaled,bonacichPowerCentrality-2-Meta Network,bonacichPowerCentrality-2-Meta Network-unscaled,closenessCentrality-1-Meta Network,closenessCentrality-1-Meta Network-unscaled,closenessCentrality-2-Meta Network,closenessCentrality-2-Meta Network-unscaled,closenessCentrality-3-Meta Network,closenessCentrality-3-Meta Network-unscaled,contributionCentrality-1-Meta Network,contributionCentrality-1-Meta Network-unscaled,contributionCentrality-2-Meta Network,contributionCentrality-2-Meta Network-unscaled,eccentricityCentrality-1-Meta Network,eccentricityCentrality-2-Meta Network,eccentricityCentrality-3-Meta Network,egoBetweennessCentrality-1-Meta Network,egoBetweennessCentrality-2-Meta Network,eigenvectorCentrality-1-Meta Network,eigenvectorCentrality-1-Meta Network-unscaled,eigenvectorCentrality-2-Meta Network,eigenvectorCentrality-2-Meta Network-unscaled,exponentialRankCentrality-1-Meta Network,exponentialRankCentrality-1-Meta Network-unscaled,exponentialRankCentrality-2-Meta Network,exponentialRankCentrality-2-Meta Network-unscaled,hubCentrality-1-Meta Network,hubCentrality-1-Meta Network-unscaled,hubCentrality-2-Meta Network,hubCentrality-2-Meta Network-unscaled,inClosenessCentrality-1-Meta Network,inClosenessCentrality-1-Meta Network-unscaled,inClosenessCentrality-2-Meta Network,inClosenessCentrality-2-Meta Network-unscaled,inClosenessCentrality-3-Meta Network,inClosenessCentrality-3-Meta Network-unscaled,inDegreeCentrality-1-Meta Network,inDegreeCentrality-1-Meta Network-unscaled,inDegreeCentrality-2-Meta Network,inDegreeCentrality-2-Meta Network-unscaled,inDegreeCentrality-3-Meta Network,inDegreeCentrality-3-Meta Network-unscaled,inDegreeCentrality-4-Meta Network,inDegreeCentrality-4-Meta Network-unscaled,inInverseClosenessCentrality-1-Meta Network,inInverseClosenessCentrality-1-Meta Network-unscaled,inInverseClosenessCentrality-2-Meta Network,inInverseClosenessCentrality-2-Meta Network-unscaled,inInverseClosenessCentrality-3-Meta Network,inInverseClosenessCentrality-3-Meta Network-unscaled,informationCentrality-1-Meta Network,informationCentrality-1-Meta Network-unscaled,inverseClosenessCentrality-1-Meta Network,inverseClosenessCentrality-1-Meta Network-unscaled,inverseClosenessCentrality-2-Meta Network,inverseClosenessCentrality-2-Meta Network-unscaled,inverseClosenessCentrality-3-Meta Network,inverseClosenessCentrality-3-Meta Network-unscaled,katzCentrality-1-Meta Network,katzCentrality-1-Meta Network-unscaled,katzCentrality-2-Meta Network,katzCentrality-2-Meta Network-unscaled,outDegreeCentrality-1-Meta Network,outDegreeCentrality-1-Meta Network-unscaled,outDegreeCentrality-2-Meta Network,outDegreeCentrality-2-Meta Network-unscaled,outDegreeCentrality-3-Meta Network,outDegreeCentrality-3-Meta Network-unscaled,outDegreeCentrality-4-Meta Network,outDegreeCentrality-4-Meta Network-unscaled,pageRankCentrality-1-Meta Network,pageRankCentrality-2-Meta Network,potentialBoundarySpanner-1-Meta Network,potentialBoundarySpanner-2-Meta Network,radialityCentrality-1-Meta Network,radialityCentrality-1-Meta Network-unscaled,radialityCentrality-2-Meta Network,radialityCentrality-2-Meta Network-unscaled,radialityCentrality-3-Meta Network,radialityCentrality-3-Meta Network-unscaled,totalDegreeCentrality-1-Meta Network,totalDegreeCentrality-1-Meta Network-unscaled,totalDegreeCentrality-2-Meta Network,totalDegreeCentrality-2-Meta Network-unscaled,totalDegreeCentrality-3-Meta Network,totalDegreeCentrality-3-Meta Network-unscaled,totalDegreeCentrality-4-Meta Network,totalDegreeCentrality-4-Meta Network-unscaled,
0,0,0,0,8.761e-06,6.195e-06,0,0,0,0,0.032,262447.656,2.636e-04,0.309,1.557e-06,0.068,0.005,0,0.005,0,2.549e-06,0,0.004,0.003,1.409e-04,9.965e-05,5,5,7,0,0.328,4.686e-05,3.313e-05,8.761e-06,6.195e-06,0.505,2.335e-04,0.993,2.477e-04,8.761e-06,6.195e-06,8.761e-06,6.195e-06,2.063e-05,0,2.063e-05,0,0,0,0,0,0,0,6.803e-04,2866,0.071,286,0,0,0,0,0.273,1103.877,4.269e-04,5.389,0.409,1652.250,0.409,1652.250,0.273,1103.876,0,0,0.048,0.068,0.086,347,0.086,347,6.803e-04,2866,0.071,286,5.643e-05,8.301e-04,0,7.405e-04,0.948,15451048,0.948,15451048,0.907,15426809856.000,0.043,347,0.043,347,6.803e-04,2866,0.071,286,
1,1,0,0,1.404e-06,0,0,0,0,0,3.013e-04,2456.002,1.216e-05,0.014,0,0.007,0.002,0,0.002,0,2.549e-06,0,6.436e-05,4.551e-05,2.328e-05,1.646e-05,10,10,8,0,0.026,0,0,1.404e-06,0,0.506,2.340e-04,0.993,2.475e-04,1.404e-06,0,1.404e-06,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,6.931e-05,292,0.029,119,2.476e-04,1,2.476e-04,1,0.236,954.093,3.231e-04,4.079,0.180,727.571,0.180,727.571,0.236,954.093,0.003,0.003,0.005,0.007,0.004,16,0.004,16,6.931e-05,292,0.029,119,5.659e-05,8.862e-05,0,6.802e-05,0.870,14186632,0.870,14186632,0.907,15426807808.000,0.002,17,0.002,17,6.931e-05,292,0.029,119,
2,2,0,0,0,0,0,0,0,0,1.863e-05,151.879,6.679e-06,0.008,0,0.002,2.496e-04,0,2.496e-04,0,2.549e-06,0,5.673e-05,4.012e-05,0,0,4,4,9,0,0.015,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,2.469e-05,104,0.007,28,2.476e-04,1,2.476e-04,1,0.180,725.610,2.696e-04,3.404,0.005,18.333,0.005,18.333,0.180,725.609,0.003,0.003,0.002,0.002,0.002,9,0.002,9,2.469e-05,104,0.007,28,5.659e-05,3.546e-05,0,1.181e-05,0.008,129179,0.008,129179,0.907,15426803712.000,0.001,10,0.001,10,2.469e-05,104,0.007,28,
3,3,0,0,0,0,0,0,0,0,6.675e-05,544.071,1.291e-05,0.015,0,0.006,0.002,0,0.002,0,2.549e-06,0,6.437e-05,4.551e-05,2.527e-06,1.787e-06,11,11,8,0,0.054,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,5.840e-05,246,0.019,76,2.476e-04,1,2.476e-04,1,0.225,908.876,3.231e-04,4.079,0.175,706.547,0.175,706.547,0.225,908.876,0.003,0.003,0.004,0.006,0.004,16,0.004,16,5.840e-05,246,0.019,76,5.659e-05,7.406e-05,0,1.789e-05,0.881,14370497,0.881,14370497,0.907,15426806784.000,0.002,17,0.002,17,5.840e-05,246,0.019,76,
4,4,0,0,0,0,0,0,0,0,0,0,6.628e-06,0.008,0,0.001,2.483e-04,0,2.483e-04,0,2.549e-06,0,5.487e-05,3.880e-05,0,0,3,3,9,0,0,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,1.139e-05,48,0.002,10,2.476e-04,1,2.476e-04,1,0.175,706.193,2.696e-04,3.404,0.003,10.167,0.003,10.167,0.175,706.192,0.003,0.003,7.999e-04,0.001,0.002,9,0.002,9,1.139e-05,48,0.002,10,5.659e-05,1.461e-05,0,0,0.003,48451,0.003,48451,0.907,15426803712.000,0.001,10,0.001,10,1.139e-05,48,0.002,10,
5,5,0,0,2.728e-06,1.929e-06,0,0,0,0,3.529e-05,287.631,9.134e-06,0.011,0,0.004,0.002,0,0.002,0,2.549e-06,0,6.264e-05,4.429e-05,4.408e-05,3.117e-05,12,12,8,0,0.071,1.663e-06,0,2.728e-06,1.929e-06,0.506,2.340e-04,0.993,2.475e-04,2.728e-06,1.929e-06,2.728e-06,1.929e-06,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,4.083e-05,172,0.021,86,2.476e-04,1,2.476e-04,1,0.229,922.727,2.978e-04,3.759,0.152,614.029,0.152,614.029,0.229,922.726,0.003,0.003,0.003,0.004,0.003,12,0.003,12,4.083e-05,172,0.021,86,5.659e-05,5.090e-05,0,1.352e-05,0.862,14061139,0.862,14061139,0.907,15426806784.000,0.002,13,0.002,13,4.083e-05,172,0.021,86,
6,6,0,0,0,0,0,0,0,0,0,0.250,3.667e-06,0.004,0,5.173e-04,2.480e-04,0,2.480e-04,0,2.549e-06,0,5.512e-05,3.898e-05,0,0,2,2,9,0,0.012,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,5.222e-06,22,0.002,8,2.476e-04,1,2.476e-04,1,0.166,671.605,2.070e-04,2.614,0.001,5.500,0.001,5.500,0.166,671.604,0.003,0.003,3.679e-04,5.173e-04,0.001,5,0.001,5,5.222e-06,22,0.002,8,5.659e-05,6.947e-06,0,0,0.001,24227,0.001,24227,0.907,15426802688.000,7.429e-04,6,7.429e-04,6,5.222e-06,22,0.002,8,
7,7,0,0,4.782e-06,3.382e-06,0,0,0,0,1.571e-05,128.087,1.463e-05,0.017,0,0.008,0.002,0,0.002,0,2.549e-06,0,7.920e-05,5.600e-05,7.509e-05,5.310e-05,12,12,8,0,0.009,3.631e-05,2.567e-05,4.782e-06,3.382e-06,0.506,2.340e-04,0.993,2.475e-04,4.782e-06,3.382e-06,4.782e-06,3.382e-06,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,7.549e-05,318,0.028,115,2.476e-04,1,2.476e-04,1,0.227,917.893,3.366e-04,4.250,0.173,699.648,0.173,699.648,0.227,917.893,0.003,0.003,0.005,0.008,0.005,19,0.005,19,7.549e-05,318,0.028,115,5.659e-05,9.472e-05,0,3.257e-06,0.870,14183010,0.870,14183010,0.907,15426806784.000,0.002,20,0.002,20,7.549e-05,318,0.028,115,
8,8,0,0,0,0,0,0,0,0,5.074e-06,41.360,5.120e-06,0.006,0,6.596e-04,2.480e-04,0,2.480e-04,0,2.549e-06,0,5.582e-05,3.947e-05,0,0,1,1,9,0,0.164,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,6.647e-06,28,0.002,10,2.476e-04,1,2.476e-04,1,0.178,720.193,2.434e-04,3.072,0.002,7,0.002,7,0.178,720.192,0.003,0.003,4.691e-04,6.596e-04,0.002,7,0.002,7,6.647e-06,28,0.002,10,5.659e-05,8.758e-06,0,1.195e-05,0.002,28266,0.002,28266,0.907,15426803712.000,9.906e-04,8,9.906e-04,8,6.647e-06,28,0.002,10,
9,9,0,0,4.309e-06,3.047e-06,4.148e-05,676.139,4.148e-05,676.139,7.996e-05,651.760,4.279e-05,0.050,0,0.026,0.002,0,0.002,0,2.549e-06,0,8.399e-05,5.939e-05,6.827e-05,4.827e-05,10,10,8,0.004,0.005,3.116e-06,2.203e-06,4.309e-06,3.047e-06,0.507,2.346e-04,0.993,2.476e-04,4.309e-06,3.047e-06,4.309e-06,3.047e-06,2.063e-05,0,2.063e-05,0,0,0,4.953e-04,2,4.953e-04,2,2.644e-04,1114,0.039,158,4.953e-04,2,4.953e-04,2,0.235,949.560,3.944e-04,4.979,0.202,813.771,0.202,813.771,0.235,949.560,0.005,0.006,0.019,0.026,0.014,55,0.014,55,2.644e-04,1114,0.039,158,6.012e-05,3.384e-04,6.869e-05,4.731e-06,0.881,14365088,0.881,14365088,0.907,15426807808.000,0.007,57,0.007,57,2.644e-04,1114,0.039,158,
